day,threshold,high_ratio_count,high_ratio_pct
1,0.042495000000000005,23,23.96
2,0.06329,24,25.0
3,0.050685,24,25.0
4,0.29481250000000003,24,25.0
5,0.09484,24,25.0
6,0.21516,24,25.0
7,0.117815,25,26.04
8,0.07026,24,25.0
9,0.24734499999999998,24,25.0
10,0.51564,24,25.0
11,0.31850999999999996,24,25.0
12,0.2182375,25,26.04
13,0.1000425,26,27.08
14,0.356075,24,25.0
15,0.25934250000000003,25,26.04
16,0.1198875,24,25.0
17,0.0836725,24,25.0
18,0.208565,24,25.0
19,0.37055000000000005,24,25.0
20,0.252965,23,23.96
21,0.8242375,24,25.0
22,0.3798875,23,23.96
23,0.17404750000000002,24,25.0
24,0.12495,24,25.0
25,0.0932525,24,25.0
26,0.1305825,24,25.0
27,0.7822125,24,25.0
28,0.739155,24,25.0
29,0.10925,23,23.96
30,0.1968275,25,26.04
31,0.17359999999999998,24,25.0
32,0.25465,25,26.04
33,0.7719725,23,23.96
34,0.249205,24,25.0
35,0.516445,24,25.0
36,0.239025,25,26.04
37,0.17334,24,25.0
38,0.329945,24,25.0
39,0.15971000000000002,24,25.0
40,0.4350925,24,25.0
41,0.29986,24,25.0
42,0.6286225000000001,24,25.0
43,0.3474475,24,25.0
44,0.41425,23,23.96
45,0.47282,24,25.0
46,1.192135,24,25.0
47,0.3623525,24,25.0
48,0.65329,24,25.0
49,0.4165375,24,25.0
50,0.154615,23,23.96
51,0.2839875,25,26.04
52,0.4535875,24,25.0
53,0.211395,23,23.96
54,0.62986,24,25.0
55,0.474895,24,25.0
56,0.4771775,24,25.0
57,0.18211,24,25.0
58,0.0775625,23,23.96
59,0.27138,24,25.0
60,0.0642475,23,23.96
61,0.6048250000000001,24,25.0
62,0.6060975000000001,24,25.0
63,0.202965,24,25.0
64,0.1207825,23,23.96
65,0.2181125,24,25.0
66,0.285505,23,23.96
67,0.27126,25,26.04
68,0.25206249999999997,24,25.0
69,0.22715999999999997,23,23.96
70,0.24823250000000002,24,25.0
71,0.10603499999999999,23,23.96
72,0.2306225,24,25.0
73,0.27618,23,23.96
74,0.4432475,23,23.96
75,0.37223500000000004,24,25.0
76,0.13763999999999998,24,25.0
77,0.4684625,24,25.0
78,0.11592,24,25.0
79,0.1754775,24,25.0
80,0.2577475,23,23.96
81,0.377045,24,25.0
82,0.46172,24,25.0
83,0.24938749999999998,24,25.0
84,0.58147,24,25.0
85,0.9541375000000001,24,25.0
86,0.47270999999999996,25,26.04
87,1.0550275,24,25.0
88,0.34963500000000003,24,25.0
89,0.53539,24,25.0
90,0.5171325,24,25.0
91,0.6412374999999999,24,25.0
92,0.5314325,24,25.0
93,0.10729,25,26.04
94,0.05273,24,25.0
95,0.175385,25,26.04
96,0.171585,24,25.0
97,0.401225,24,25.0
98,0.6485125,26,27.08
99,0.496795,23,23.96
100,0.36424,24,25.0
101,0.4130325,25,26.04
102,0.8902,24,25.0
103,0.5715175,24,25.0
104,1.387305,24,25.0
105,1.4830174999999999,24,25.0
106,0.34487999999999996,24,25.0
107,0.31681499999999996,24,25.0
108,0.46633,24,25.0
109,0.5953425,24,25.0
110,0.4155975,24,25.0
111,0.36680999999999997,24,25.0
112,0.1410575,24,25.0
113,0.7745449999999999,24,25.0
114,0.156595,24,25.0
115,0.347445,24,25.0
116,0.4880825,25,26.04
117,0.3453675,23,23.96
118,0.3935375,24,25.0
119,0.1421575,24,25.0
120,0.1830975,24,25.0
121,0.2428475,24,25.0
122,0.405725,24,25.0
123,0.432205,24,25.0
124,0.3794375,24,25.0
125,0.353615,24,25.0
126,0.41742250000000003,24,25.0
127,0.2845125,23,23.96
128,0.2116725,24,25.0
129,0.354505,24,25.0
130,0.265605,24,25.0
131,0.3804025,24,25.0
132,0.15986,23,23.96
133,0.7258249999999999,24,25.0
134,0.7395900000000001,24,25.0
135,1.0880524999999999,23,23.96
136,0.9297825,24,25.0
137,0.5707625000000001,24,25.0
138,0.481055,24,25.0
139,0.34967499999999996,24,25.0
