day,threshold,high_ratio_count,high_ratio_pct
1,0.11881,23,23.96
2,0.1748975,24,25.0
3,0.1372675,24,25.0
4,0.7937350000000001,24,25.0
5,0.25967999999999997,24,25.0
6,0.5991025,24,25.0
7,0.3169925,25,26.04
8,0.1924675,24,25.0
9,0.6688025,24,25.0
10,1.4492725,24,25.0
11,0.87675,24,25.0
12,0.58724,25,26.04
13,0.27016999999999997,24,25.0
14,0.95804,24,25.0
15,0.7296775,25,26.04
16,0.326765,24,25.0
17,0.22969250000000002,24,25.0
18,0.585955,24,25.0
19,1.0286225,24,25.0
20,0.709095,23,23.96
21,2.2612025,24,25.0
22,1.027855,23,23.96
23,0.4683,24,25.0
24,0.3361825,24,25.0
25,0.25097749999999996,24,25.0
26,0.3606825,24,25.0
27,2.1900524999999997,24,25.0
28,2.0640075,24,25.0
29,0.296945,23,23.96
30,0.539435,25,26.04
31,0.4684925,24,25.0
32,0.6934575000000001,24,25.0
33,2.12699,23,23.96
34,0.6704975,24,25.0
35,1.40106,24,25.0
36,0.64819,25,26.04
37,0.47189749999999997,24,25.0
38,0.8952625,24,25.0
39,0.4297125,24,25.0
40,1.1859175,24,25.0
41,0.8073725,24,25.0
42,1.7607575,24,25.0
43,0.9573175,24,25.0
44,1.143955,23,23.96
45,1.29893,24,25.0
46,3.341945,24,25.0
47,1.0105525000000002,24,25.0
48,1.8358349999999999,24,25.0
49,1.1679525,24,25.0
50,0.4289225,25,26.04
51,0.76527,25,26.04
52,1.22927,24,25.0
53,0.569225,23,23.96
54,1.7010275,24,25.0
55,1.2875100000000002,24,25.0
56,1.287985,24,25.0
57,0.4899825,24,25.0
58,0.2123575,24,25.0
59,0.7636425,24,25.0
60,0.1739,23,23.96
61,1.638655,25,26.04
62,1.6325725,24,25.0
63,0.5536675,24,25.0
64,0.32497,23,23.96
65,0.600655,24,25.0
66,0.7835675,23,23.96
67,0.7634124999999999,25,26.04
68,0.69622,25,26.04
69,0.6205825,23,23.96
70,0.6678999999999999,24,25.0
71,0.2853025,23,23.96
72,0.6316225,24,25.0
73,0.7650699999999999,23,23.96
74,1.20628,24,25.0
75,1.037855,24,25.0
76,0.37093,24,25.0
77,1.2787074999999999,24,25.0
78,0.32444249999999997,24,25.0
79,0.4822525,24,25.0
80,0.7068075,23,23.96
81,1.0337625,24,25.0
82,1.246705,24,25.0
83,0.67843,24,25.0
84,1.57256,24,25.0
85,2.6441274999999997,24,25.0
86,1.2725125,25,26.04
87,2.9247575,24,25.0
88,0.9606775,24,25.0
89,1.504455,24,25.0
90,1.395575,24,25.0
91,1.73995,24,25.0
92,1.4479024999999999,24,25.0
93,0.300245,25,26.04
94,0.1418775,24,25.0
95,0.47748,25,26.04
96,0.46204,24,25.0
97,1.1222025,24,25.0
98,1.766775,26,27.08
99,1.38102,23,23.96
100,1.0016025,24,25.0
101,1.111345,25,26.04
102,2.44153,24,25.0
103,1.544115,24,25.0
104,3.8689575,24,25.0
105,4.131955,24,25.0
106,0.9337525,24,25.0
107,0.8524125,24,25.0
108,1.2548175,24,25.0
109,1.6145925,24,25.0
110,1.12998,24,25.0
111,1.0111525,24,25.0
