day,P25_threshold,low_net_load_count,low_net_load_pct
1,31591.82125,24,25.0
2,29874.137749999998,24,25.0
3,30603.631,23,23.96
4,25062.39975,24,25.0
5,27805.189000000002,24,25.0
6,23730.442499999997,24,25.0
7,29197.417999999998,24,25.0
8,30292.2875,24,25.0
9,24414.5045,24,25.0
10,19196.089500000002,24,25.0
11,25184.075249999998,24,25.0
12,26933.97125,23,23.96
13,28738.51975,23,23.96
14,22879.402000000002,24,25.0
15,23595.09225,24,25.0
16,29481.09975,24,25.0
17,30658.1195,24,25.0
18,28395.40975,24,25.0
19,21207.23625,24,25.0
20,24733.507,24,25.0
21,6117.31325,24,25.0
22,20929.672,24,25.0
23,27851.951,24,25.0
24,28876.64775,24,25.0
25,27569.64575,24,25.0
26,28794.7755,23,23.96
27,7267.597750000001,24,25.0
28,7484.333500000001,24,25.0
29,25734.094999999998,23,23.96
30,24251.905,24,25.0
31,23867.06525,23,23.96
32,23485.654749999998,23,23.96
33,6881.258,23,23.96
34,20300.37175,24,25.0
35,12062.40325,24,25.0
36,18116.82975,24,25.0
37,18726.593249999998,24,25.0
38,16532.186,23,23.96
39,21414.679,24,25.0
40,16845.06375,23,23.96
41,21786.3505,24,25.0
42,11901.19075,24,25.0
43,21516.109249999998,24,25.0
44,20653.863,24,25.0
45,19070.065000000002,24,25.0
46,0.0,24,25.0
47,20898.39025,23,23.96
48,11343.20375,24,25.0
49,19633.87625,22,22.92
50,26122.29975,24,25.0
51,26802.154000000002,24,25.0
52,19179.101499999997,24,25.0
53,28200.0,23,23.96
54,13340.341,24,25.0
55,17620.3795,24,25.0
56,16716.52225,23,23.96
57,27012.61725,24,25.0
58,28111.691,24,25.0
59,21007.927750000003,24,25.0
60,28263.67775,23,23.96
61,13706.556,24,25.0
62,13032.49375,24,25.0
63,23480.02725,24,25.0
64,26921.167999999998,24,25.0
65,25879.8305,24,25.0
66,22499.7605,24,25.0
67,21618.03025,24,25.0
68,23336.052750000003,22,22.92
69,24307.00725,24,25.0
70,23484.18,24,25.0
71,26457.47525,26,27.08
72,24165.0445,24,25.0
73,22581.175750000002,23,23.96
74,18242.57775,22,22.92
75,19021.53225,25,26.04
76,24420.8085,24,25.0
77,16076.6125,24,25.0
78,25444.7565,25,26.04
79,23069.745000000003,24,25.0
80,22470.903000000002,23,23.96
81,19764.11675,24,25.0
82,17440.149,24,25.0
83,22691.38825,24,25.0
84,12110.59225,24,25.0
85,1477.756,24,25.0
86,17396.688749999998,24,25.0
87,0.0,24,25.0
88,17635.615,24,25.0
89,14138.736,24,25.0
90,14073.127499999999,24,25.0
91,10327.55875,24,25.0
92,14821.173999999999,24,25.0
93,24277.6345,24,25.0
94,26763.066,23,23.96
95,22869.639750000002,24,25.0
96,22878.1,25,26.04
97,16725.27025,24,25.0
98,9951.9345,24,25.0
99,15603.08375,23,23.96
100,19182.560749999997,24,25.0
101,18643.33325,24,25.0
102,3488.803,24,25.0
103,12996.13075,24,25.0
104,0.0,24,25.0
105,0.0,25,26.04
106,19691.78025,24,25.0
107,20247.0795,24,25.0
108,15745.36425,24,25.0
109,12375.071,24,25.0
110,17752.03725,24,25.0
111,17621.9945,22,22.92
112,23406.02525,24,25.0
113,6778.5065,24,25.0
114,23145.04275,23,23.96
115,20207.27525,25,26.04
116,14908.324999999999,24,25.0
117,18454.54625,23,23.96
118,18137.527000000002,24,25.0
119,23925.204749999997,24,25.0
120,23183.028250000003,23,23.96
121,20566.28825,25,26.04
122,16482.714500000002,24,25.0
123,14801.4585,24,25.0
124,16203.40575,24,25.0
125,16894.9895,24,25.0
126,16678.505749999997,24,25.0
127,20499.6685,24,25.0
128,22427.307249999998,22,22.92
129,19317.59375,24,25.0
130,21416.398250000002,24,25.0
131,18677.056,24,25.0
132,23272.260000000002,23,23.96
133,7753.314,24,25.0
134,7912.8045,25,26.04
135,0.0,24,25.0
136,2250.8905,24,25.0
137,12827.45225,23,23.96
138,15233.11725,23,23.96
139,19423.610249999998,24,25.0
140,23268.76925,24,25.0
141,22917.89525,24,25.0
142,17506.49275,25,26.04
143,13286.522,24,25.0
144,0.0,25,26.04
145,20180.968,24,25.0
146,15741.14125,24,25.0
147,22147.08725,24,25.0
148,24219.33675,24,25.0
149,24083.0825,25,26.04
150,18686.747499999998,24,25.0
151,19972.4485,24,25.0
152,16812.46575,24,25.0
153,19707.410750000003,25,26.04
154,19554.188000000002,24,25.0
155,9538.6915,24,25.0
156,8625.0175,24,25.0
157,26451.12125,24,25.0
158,24737.696500000002,24,25.0
159,21961.05625,24,25.0
160,19914.329250000003,24,25.0
161,10851.90925,24,25.0
162,19215.245499999997,24,25.0
163,24946.40475,23,23.96
164,25255.38525,22,22.92
165,21790.71525,24,25.0
166,12807.908,24,25.0
167,19225.76775,24,25.0
168,24591.387,24,25.0
169,13042.76375,24,25.0
170,16219.5165,24,25.0
171,22786.673,24,25.0
172,22023.6665,24,25.0
173,25242.2255,24,25.0
174,19892.143,24,25.0
175,25261.361,24,25.0
176,25633.79175,24,25.0
177,24479.598,24,25.0
178,25849.73775,24,25.0
179,18774.4575,24,25.0
180,20272.12725,24,25.0
181,0.0,24,25.0
182,4610.53225,24,25.0
183,19044.553,23,23.96
184,18931.2955,24,25.0
185,22520.694750000002,25,26.04
186,19145.36325,24,25.0
187,2345.933,25,26.04
188,15246.20325,23,23.96
189,22552.811999999998,24,25.0
190,17758.08,24,25.0
191,23224.24575,24,25.0
192,23173.0625,24,25.0
193,26042.644249999998,24,25.0
194,18223.0685,24,25.0
195,19848.667,24,25.0
196,21372.38725,23,23.96
197,24448.540999999997,24,25.0
198,23209.5715,24,25.0
199,30049.754,24,25.0
200,27057.3125,24,25.0
201,26305.28975,24,25.0
202,28330.20725,23,23.96
203,22049.469,24,25.0
204,14950.33375,24,25.0
205,28338.44125,24,25.0
206,23764.343249999998,24,25.0
207,30909.59325,23,23.96
208,23639.735,24,25.0
209,33363.1265,24,25.0
210,35404.1075,23,23.96
211,34240.49625,23,23.96
212,29727.40325,24,25.0
213,31364.01575,23,23.96
214,20047.19325,24,25.0
215,30027.4305,24,25.0
216,32255.084,24,25.0
217,27583.18525,24,25.0
218,30844.7685,24,25.0
219,31484.79825,24,25.0
220,19265.59625,24,25.0
221,6799.1942500000005,24,25.0
222,31788.833749999998,24,25.0
223,14186.48775,25,26.04
224,22561.18375,24,25.0
225,30974.78675,24,25.0
226,29574.33025,24,25.0
227,30983.99125,24,25.0
228,30158.76975,24,25.0
229,29218.791,24,25.0
230,28582.3585,24,25.0
231,27538.001750000003,24,25.0
232,27165.5185,24,25.0
233,23207.37375,24,25.0
234,26909.908000000003,24,25.0
235,29810.489250000002,24,25.0
236,30166.46625,24,25.0
237,28696.1095,24,25.0
238,32100.0,23,23.96
239,24449.2515,22,22.92
240,26332.506500000003,24,25.0
241,30488.947500000002,24,25.0
242,27378.836,24,25.0
243,10686.33125,24,25.0
244,25700.947249999997,24,25.0
245,15710.3395,24,25.0
246,24012.519,24,25.0
247,23512.8785,24,25.0
248,21998.24375,24,25.0
249,26597.01925,24,25.0
250,26708.824,24,25.0
251,3579.75725,25,26.04
252,16527.43025,25,26.04
253,23529.29225,24,25.0
254,22065.18,24,25.0
255,21836.25,24,25.0
256,22032.92525,24,25.0
257,19914.089,24,25.0
258,15758.290500000001,24,25.0
259,20262.860249999998,24,25.0
260,22388.870499999997,24,25.0
261,24938.232500000002,25,26.04
262,27583.982,23,23.96
263,24588.469250000002,24,25.0
264,17714.60925,24,25.0
265,21720.39325,23,23.96
266,22112.02025,24,25.0
267,11780.523000000001,24,25.0
268,18753.41425,24,25.0
269,8521.092,23,23.96
270,12375.61025,24,25.0
271,26413.365999999998,25,26.04
272,26310.059,24,25.0
273,26191.5035,24,25.0
274,25509.4715,24,25.0
275,19808.362,23,23.96
276,20036.681249999998,24,25.0
277,3849.4700000000003,24,25.0
278,20435.9945,24,25.0
279,24316.461499999998,24,25.0
280,23996.07125,22,22.92
281,21964.279,24,25.0
282,19047.281499999997,24,25.0
283,17645.55975,24,25.0
284,25562.75975,24,25.0
285,24235.428,24,25.0
286,20706.777749999997,25,26.04
