day,P25_threshold,low_net_load_count,low_net_load_pct
1,31270.27075,23,23.96
2,29429.894999999997,24,25.0
3,30400.0,24,25.0
4,17163.56075,24,25.0
5,25565.27175,24,25.0
6,17678.72175,24,25.0
7,27800.0,24,25.0
8,28887.10575,24,25.0
9,18847.458000000002,24,25.0
10,1297.1164999999999,24,25.0
11,15339.1105,24,25.0
12,22298.41425,24,25.0
13,26547.49675,24,25.0
14,12876.4805,24,25.0
15,16610.94775,25,26.04
16,28683.88,24,25.0
17,29247.365999999998,24,25.0
18,22605.67675,24,25.0
19,10689.586749999999,24,25.0
20,17537.012,24,25.0
21,0.0,24,25.0
22,11090.8045,24,25.0
23,23527.70725,25,26.04
24,27344.85775,24,25.0
25,27100.0,24,25.0
26,26483.15225,24,25.0
27,0.0,24,25.0
28,0.0,24,25.0
29,22624.136,24,25.0
30,19885.063000000002,24,25.0
31,19381.895,24,25.0
32,17173.2655,24,25.0
33,0.0,24,25.0
34,14919.332,24,25.0
35,1703.4245,24,25.0
36,13651.57,23,23.96
37,15260.67475,24,25.0
38,10048.553,24,25.0
39,19266.512,23,23.96
40,6328.6375,24,25.0
41,14212.74225,24,25.0
42,0.0,24,25.0
43,11529.956999999999,24,25.0
44,8432.4305,23,23.96
45,4677.48575,24,25.0
46,0.0,24,25.0
47,10593.0655,24,25.0
48,0.0,24,25.0
49,7011.47025,24,25.0
50,22505.192,24,25.0
51,18559.0725,25,26.04
52,6134.17775,24,25.0
53,22753.6545,23,23.96
54,0.0,24,25.0
55,4722.355,24,25.0
56,4532.80925,24,25.0
57,22630.13925,24,25.0
58,27761.2465,24,25.0
59,14338.723750000001,24,25.0
60,27199.91075,24,25.0
61,0.0,24,25.0
62,0.0,24,25.0
63,18477.38825,24,25.0
64,25983.6155,24,25.0
65,21254.24425,24,25.0
66,15303.02125,23,23.96
67,14732.74625,24,25.0
68,15527.31175,23,23.96
69,19352.4315,22,22.92
70,16845.82925,25,26.04
71,25600.0,24,25.0
72,18366.475,24,25.0
73,15186.693,23,23.96
74,6619.89925,24,25.0
75,9634.98875,24,25.0
76,21419.0815,24,25.0
77,4185.99975,24,25.0
78,24615.40325,23,23.96
79,19554.047749999998,24,25.0
80,16260.383000000002,23,23.96
81,9621.9735,24,25.0
82,5444.71075,24,25.0
83,16442.34175,24,25.0
84,0.0,24,25.0
85,0.0,24,25.0
86,5031.12825,25,26.04
87,0.0,24,25.0
88,9497.3935,24,25.0
89,0.0,24,25.0
90,2021.72975,24,25.0
91,0.0,24,25.0
92,1121.4545,24,25.0
93,23403.56375,24,25.0
94,25417.909,24,25.0
95,19769.298,23,23.96
96,18739.95975,24,25.0
97,7118.862,23,23.96
98,0.0,24,25.0
99,2422.63675,23,23.96
100,10148.454249999999,24,25.0
101,8463.67675,24,25.0
102,0.0,24,25.0
103,0.0,24,25.0
104,0.0,24,25.0
105,0.0,24,25.0
106,11526.0635,24,25.0
107,13006.788,25,26.04
108,4856.05775,24,25.0
109,0.0,24,25.0
110,7525.38525,24,25.0
111,9003.404,24,25.0
112,20835.71625,23,23.96
113,0.0,24,25.0
114,20644.322500000002,24,25.0
115,12012.582,23,23.96
116,2700.95075,25,26.04
117,10025.6625,24,25.0
118,8199.43275,24,25.0
119,21408.703,24,25.0
120,18998.871499999997,24,25.0
121,15457.405999999999,23,23.96
122,7594.79825,24,25.0
123,6051.9985,24,25.0
124,7787.62025,24,25.0
125,9333.26325,24,25.0
126,7152.87525,24,25.0
127,14900.628,23,23.96
128,17885.6035,23,23.96
129,10453.790500000001,24,25.0
130,15722.969,24,25.0
131,9374.982250000001,24,25.0
132,19732.04075,23,23.96
133,0.0,24,25.0
134,0.0,24,25.0
135,0.0,24,25.0
136,0.0,24,25.0
137,0.0,25,26.04
138,3821.91875,24,25.0
139,11281.28625,24,25.0
140,18461.029499999997,24,25.0
141,18484.754500000003,24,25.0
142,8981.677,23,23.96
143,0.0,23,23.96
144,0.0,24,25.0
145,9752.7675,24,25.0
146,4403.4605,24,25.0
147,16062.510999999999,24,25.0
148,19344.27725,24,25.0
149,18538.2055,24,25.0
150,10851.674,24,25.0
151,12618.857,24,25.0
152,7882.25625,23,23.96
153,13045.155,25,26.04
