day,threshold,low_carbon_count,low_carbon_pct
1,132.175,24,25.0
2,127.44999999999999,24,25.0
3,131.055,24,25.0
4,70.025,24,25.0
5,118.625,23,23.96
6,79.11,24,25.0
7,115.6375,25,26.04
8,126.0825,24,25.0
9,80.12,24,25.0
10,64.92750000000001,24,25.0
11,53.225,23,23.96
12,89.685,25,26.04
13,117.48750000000001,23,23.96
14,83.905,24,25.0
15,63.004999999999995,25,26.04
16,112.0325,24,25.0
17,119.8875,24,25.0
18,81.3475,24,25.0
19,54.985,24,25.0
20,71.535,24,25.0
21,54.4725,24,25.0
22,58.95,24,25.0
23,101.5325,24,25.0
24,113.8475,24,25.0
25,121.7525,24,25.0
26,108.985,24,25.0
27,57.324999999999996,24,25.0
28,65.955,24,25.0
29,114.5175,24,25.0
30,92.3825,24,25.0
31,95.70750000000001,23,23.96
32,76.69749999999999,24,25.0
33,107.67750000000001,23,23.96
34,82.69999999999999,24,25.0
35,95.02000000000001,24,25.0
36,81.355,25,26.04
37,94.16,24,25.0
38,86.175,24,25.0
39,105.135,24,25.0
40,71.1325,24,25.0
41,76.93,24,25.0
42,57.572500000000005,24,25.0
43,59.0525,24,25.0
44,55.2425,24,25.0
45,64.1675,24,25.0
46,67.675,24,25.0
47,52.447500000000005,24,25.0
48,49.4325,23,23.96
49,59.21,20,20.83
50,98.355,24,25.0
51,73.53999999999999,25,26.04
52,78.1325,23,23.96
53,87.98,24,25.0
54,79.1175,24,25.0
55,89.795,24,25.0
56,81.91,24,25.0
57,99.515,24,25.0
58,123.16749999999999,24,25.0
59,59.09,24,25.0
60,128.505,23,23.96
61,79.88499999999999,24,25.0
62,95.10499999999999,24,25.0
63,87.28999999999999,24,25.0
64,114.27,24,25.0
65,83.405,24,25.0
66,75.8125,24,25.0
67,82.135,24,25.0
68,77.48,24,25.0
69,84.755,23,23.96
70,82.945,24,25.0
71,118.5875,23,23.96
72,85.4625,24,25.0
73,66.1875,23,23.96
74,53.817499999999995,21,21.88
75,50.18,25,26.04
76,109.7175,23,23.96
77,61.9725,24,25.0
78,112.0775,24,25.0
79,94.4,24,25.0
80,103.3075,24,25.0
81,84.0425,24,25.0
82,64.52250000000001,25,26.04
83,83.855,25,26.04
84,86.10749999999999,24,25.0
85,63.3,24,25.0
86,74.6925,24,25.0
87,63.425000000000004,24,25.0
88,57.655,23,23.96
89,51.1325,22,22.92
90,82.7025,24,25.0
91,100.6825,24,25.0
92,59.455,24,25.0
93,115.53750000000001,24,25.0
94,131.95499999999998,24,25.0
95,99.32,25,26.04
96,101.955,24,25.0
97,50.0225,23,23.96
98,74.0975,24,25.0
99,59.324999999999996,24,25.0
100,60.9375,24,25.0
101,70.36500000000001,24,25.0
102,103.405,24,25.0
103,83.5175,24,25.0
104,64.635,24,25.0
105,68.4525,24,25.0
106,74.85000000000001,23,23.96
107,72.32249999999999,24,25.0
108,85.995,24,25.0
109,88.0625,24,25.0
110,76.89750000000001,25,26.04
111,51.542500000000004,23,23.96
112,108.35,23,23.96
113,60.7775,25,26.04
114,98.35249999999999,25,26.04
115,68.785,24,25.0
116,47.3375,23,23.96
117,55.144999999999996,25,26.04
118,67.7625,25,26.04
119,108.97,23,23.96
120,90.9925,24,25.0
121,75.6075,24,25.0
122,70.6225,24,25.0
123,81.8475,23,23.96
124,78.2175,26,27.08
125,76.2225,24,25.0
126,68.9125,24,25.0
127,71.41499999999999,23,23.96
128,83.1525,24,25.0
129,62.1275,25,26.04
130,75.52000000000001,24,25.0
131,72.77250000000001,24,25.0
132,103.2675,24,25.0
133,76.4975,23,23.96
134,62.96,24,25.0
135,70.6675,24,25.0
136,50.9925,23,23.96
137,57.7625,25,26.04
138,85.3175,23,23.96
139,70.00999999999999,24,25.0
140,92.2925,24,25.0
141,98.6525,24,25.0
142,59.68,24,25.0
143,47.47,21,21.88
144,95.235,24,25.0
145,69.43,24,25.0
146,69.8775,24,25.0
147,73.8725,23,23.96
148,86.8075,24,25.0
149,92.1,24,25.0
150,73.955,25,26.04
151,59.082499999999996,23,23.96
152,54.51,23,23.96
153,70.64750000000001,26,27.08
154,61.6175,23,23.96
155,66.9975,23,23.96
156,80.51,24,25.0
157,98.82000000000001,24,25.0
158,102.23,24,25.0
159,79.6025,24,25.0
160,66.85499999999999,24,25.0
161,63.32,24,25.0
162,74.745,24,25.0
163,89.39,24,25.0
164,90.8275,24,25.0
165,67.80499999999999,24,25.0
166,49.58,24,25.0
167,70.0125,25,26.04
168,89.1825,24,25.0
169,76.77250000000001,24,25.0
170,64.2775,25,26.04
171,72.825,24,25.0
172,61.4675,25,26.04
173,110.7475,24,25.0
174,69.7475,25,26.04
175,106.22999999999999,23,23.96
176,103.3775,24,25.0
177,79.58250000000001,23,23.96
178,85.74000000000001,24,25.0
179,52.9,24,25.0
180,68.16,24,25.0
181,67.6225,23,23.96
182,69.8425,23,23.96
183,44.495000000000005,20,20.83
184,61.379999999999995,26,27.08
185,68.055,24,25.0
186,70.4525,24,25.0
187,70.46,24,25.0
188,65.55,24,25.0
189,67.0875,25,26.04
190,53.27,23,23.96
191,66.1925,24,25.0
192,62.6725,24,25.0
193,102.7375,24,25.0
194,85.4475,23,23.96
195,88.64500000000001,24,25.0
196,66.23,24,25.0
197,73.2525,24,25.0
198,67.91499999999999,24,25.0
199,107.98,24,25.0
200,69.1775,24,25.0
201,68.7025,24,25.0
202,86.535,26,27.08
203,53.2425,23,23.96
